outcome,variable,selected,imputation
andujak2,fr_embar,False,12
andujak2,fr_varic,False,12
andujak2,fr_antec,False,12
andujak2,ana_dime,False,12
andujak2,ana_crea,True,12
andujak2,ana_trop,False,12
andujak2,edad,True,12
andujak2,peso,False,12
andujak2,tension_,False,12
andujak2,ana_hemo,True,12
andujak2,ana_plaq,True,12
andujak2,ana_leuc,False,12
andujak2,ana_neu,True,12
andujak2,protcrea,False,12
andujak2,splanchnic,True,12
andujak2,sexo,False,13
andujak2,raza,True,13
andujak2,ant_inf,False,13
andujak2,ant_isq,False,13
andujak2,ant_clau,True,13
andujak2,fum_act,False,13
andujak2,diabetes,False,13
andujak2,hip_art,True,13
andujak2,insf_car,False,13
andujak2,fibr_aur,True,13
andujak2,trat_est,False,13
andujak2,e_con_pp,False,13
andujak2,e_con_cu,False,13
andujak2,e_con_ec,True,13
andujak2,e_con_lu,False,13
andujak2,e_con_be,False,13
andujak2,e_con_va,False,13
andujak2,e_con_ar,False,13
andujak2,e_con_ea,False,13
andujak2,e_con_pr,False,13
andujak2,e_con_av,False,13
andujak2,e_con_sm,False,13
andujak2,sin_tvp_,False,13
andujak2,var171,False,13
andujak2,tv_l_esu,False,13
andujak2,tvp_orig,False,13
andujak2,tv_l_ein,False,13
andujak2,tvp_prox,False,13
andujak2,tv_l_svc,False,13
andujak2,tv_l_vre,False,13
andujak2,tv_l_vrn,False,13
andujak2,tv_l_vca,False,13
andujak2,tv_l_yug,False,13
andujak2,tv_l_ova,False,13
andujak2,tv_l_sup,False,13
andujak2,tv_l_pul,False,13
andujak2,tv_l_ove,False,13
andujak2,fr_cance,False,13
andujak2,fr_cirug,False,13
andujak2,fr_inmov,False,13
andujak2,fr_tvp_a,False,13
andujak2,fr_antfa,False,13
andujak2,fr_tvs_a,False,13
andujak2,fr_viaje,False,13
andujak2,fr_estro,False,13
andujak2,fr_embar,False,13
andujak2,fr_varic,False,13
andujak2,fr_antec,False,13
andujak2,ana_dime,False,13
andujak2,ana_crea,True,13
andujak2,ana_trop,False,13
andujak2,edad,True,13
andujak2,peso,False,13
andujak2,tension_,False,13
andujak2,ana_hemo,True,13
andujak2,ana_plaq,True,13
andujak2,ana_leuc,True,13
andujak2,ana_neu,True,13
andujak2,protcrea,False,13
andujak2,splanchnic,True,13
andujak2,sexo,False,14
andujak2,raza,True,14
andujak2,ant_inf,False,14
andujak2,ant_isq,False,14
andujak2,ant_clau,True,14
andujak2,fum_act,False,14
andujak2,diabetes,False,14
andujak2,hip_art,True,14
andujak2,insf_car,False,14
andujak2,fibr_aur,True,14
andujak2,trat_est,False,14
andujak2,e_con_pp,False,14
andujak2,e_con_cu,False,14
andujak2,e_con_ec,True,14
andujak2,e_con_lu,False,14
andujak2,e_con_be,False,14
andujak2,e_con_va,False,14
andujak2,e_con_ar,False,14
andujak2,e_con_ea,False,14
andujak2,e_con_pr,False,14
andujak2,e_con_av,False,14
andujak2,e_con_sm,False,14
andujak2,sin_tvp_,False,14
andujak2,var171,False,14
andujak2,tv_l_esu,False,14
andujak2,tvp_orig,False,14
andujak2,tv_l_ein,True,14
andujak2,tvp_prox,False,14
andujak2,tv_l_svc,False,14
andujak2,tv_l_vre,False,14
andujak2,tv_l_vrn,False,14
andujak2,tv_l_vca,False,14
andujak2,tv_l_yug,False,14
andujak2,tv_l_ova,False,14
andujak2,tv_l_sup,False,14
andujak2,tv_l_pul,False,14
andujak2,tv_l_ove,False,14
andujak2,fr_cance,False,14
andujak2,fr_cirug,False,14
andujak2,fr_inmov,False,14
andujak2,fr_tvp_a,False,14
andujak2,fr_antfa,False,14
andujak2,fr_tvs_a,False,14
andujak2,fr_viaje,False,14
andujak2,fr_estro,False,14
andujak2,fr_embar,False,14
andujak2,fr_varic,False,14
andujak2,fr_antec,False,14
andujak2,ana_dime,False,14
andujak2,ana_crea,True,14
andujak2,ana_trop,False,14
andujak2,edad,True,14
andujak2,peso,False,14
andujak2,tension_,False,14
andujak2,ana_hemo,True,14
andujak2,ana_plaq,True,14
andujak2,ana_leuc,False,14
andujak2,ana_neu,True,14
andujak2,protcrea,False,14
andujak2,splanchnic,True,14
andujak2,sexo,False,15
andujak2,raza,True,15
andujak2,ant_inf,False,15
andujak2,ant_isq,False,15
andujak2,ant_clau,True,15
andujak2,fum_act,False,15
andujak2,diabetes,False,15
andujak2,hip_art,True,15
andujak2,insf_car,False,15
andujak2,fibr_aur,True,15
andujak2,trat_est,False,15
andujak2,e_con_pp,False,15
andujak2,e_con_cu,False,15
andujak2,e_con_ec,True,15
andujak2,e_con_lu,False,15
andujak2,e_con_be,False,15
andujak2,e_con_va,False,15
andujak2,e_con_ar,False,15
andujak2,e_con_ea,False,15
andujak2,e_con_pr,False,15
andujak2,e_con_av,False,15
andujak2,e_con_sm,False,15
andujak2,sin_tvp_,False,15
andujak2,var171,False,15
andujak2,tv_l_esu,False,15
andujak2,tvp_orig,False,15
andujak2,tv_l_ein,True,15
andujak2,tvp_prox,False,15
andujak2,tv_l_svc,False,15
andujak2,tv_l_vre,False,15
andujak2,tv_l_vrn,False,15
andujak2,tv_l_vca,False,15
andujak2,tv_l_yug,False,15
andujak2,tv_l_ova,False,15
andujak2,tv_l_sup,True,15
andujak2,tv_l_pul,False,15
andujak2,tv_l_ove,False,15
andujak2,fr_cance,False,15
andujak2,fr_cirug,False,15
andujak2,fr_inmov,False,15
andujak2,fr_tvp_a,False,15
andujak2,fr_antfa,False,15
andujak2,fr_tvs_a,False,15
andujak2,fr_viaje,False,15
andujak2,fr_estro,False,15
andujak2,fr_embar,False,15
andujak2,fr_varic,False,15
andujak2,fr_antec,False,15
andujak2,ana_dime,False,15
andujak2,ana_crea,True,15
andujak2,ana_trop,False,15
andujak2,edad,True,15
andujak2,peso,False,15
andujak2,tension_,False,15
andujak2,ana_hemo,True,15
andujak2,ana_plaq,True,15
andujak2,ana_leuc,True,15
andujak2,ana_neu,False,15
andujak2,protcrea,False,15
andujak2,splanchnic,True,15
