variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
ana_leuc,Leukocytes (10^9/L),<4,Development eligible,Temporal eligible,10034,221,9995,219,39,2,142.0,2.0,1.4207103551775888,0.91324200913242,0.04726592557236754,0.8165017599376866,,,,,,,,,,
ana_leuc,Leukocytes (10^9/L),>11,Development eligible,Temporal eligible,10034,221,9995,219,39,2,2561.0,57.0,25.62281140570285,26.027397260273972,-0.00924412520635168,0.8165017599376866,,,,,,,,,,
ana_neu,Neutrophils (10^9/L),1.5–8,Development eligible,Temporal eligible,10034,221,860,177,9174,44,599.0,132.0,69.65116279069767,74.57627118644068,-0.10999358060588182,0.36434050127826517,,,,,,,,,,
ana_neu,Neutrophils (10^9/L),<1.5,Development eligible,Temporal eligible,10034,221,860,177,9174,44,2.0,0.0,0.23255813953488372,0.0,0.0682788741998919,0.36434050127826517,,,,,,,,,,
ana_neu,Neutrophils (10^9/L),>8,Development eligible,Temporal eligible,10034,221,860,177,9174,44,259.0,45.0,30.116279069767444,25.423728813559322,0.10492016083797856,0.36434050127826517,,,,,,,,,,
protcrea,C-reactive protein (mg/dL),<0.5,Development eligible,Temporal eligible,10034,221,87,53,9947,168,5.0,7.0,5.747126436781609,13.20754716981132,-0.25679837879070344,0.21120359012799367,,,,,,,,,,
protcrea,C-reactive protein (mg/dL),≥0.5,Development eligible,Temporal eligible,10034,221,87,53,9947,168,82.0,46.0,94.25287356321839,86.79245283018868,0.2567983787907032,0.21120359012799367,,,,,,,,,,
female_under45,Female and age <45,No,Development eligible,Temporal eligible,10034,221,10034,221,0,0,8294.0,182.0,82.65895953757226,82.35294117647058,0.008054956405284327,0.9284027729882107,,,,,,,,,,
female_under45,Female and age <45,Yes,Development eligible,Temporal eligible,10034,221,10034,221,0,0,1740.0,39.0,17.341040462427745,17.647058823529413,-0.008054956405284327,0.9284027729882107,,,,,,,,,,
splanchnic,Splanchnic thrombosis,No,Development eligible,Temporal eligible,10034,221,2342,100,7692,121,2250.0,88.0,96.07173356105892,88.0,0.30150798449695854,0.0008532404290580419,,,,,,,,,,
splanchnic,Splanchnic thrombosis,Yes,Development eligible,Temporal eligible,10034,221,2342,100,7692,121,92.0,12.0,3.928266438941076,12.0,-0.3015079844969585,0.0008532404290580419,,,,,,,,,,
edad,Age (years),continuous,Development eligible,Temporal eligible,10034,221,10034,221,0,0,,,,,0.25405361762713163,0.00014993296357478596,54.55002989834563,18.287468783329444,55.0,40.0,70.0,50.04524886877828,17.157763616629833,50.0,39.0,61.0
peso,Weight (kg),continuous,Development eligible,Temporal eligible,10034,221,10032,220,2,1,,,,,-0.2242670779127363,0.00220174810176188,77.76188197767146,16.203005537942403,76.0,66.0,86.0,81.66818181818182,18.55373256552196,80.0,70.0,90.0
tension_,Systolic BP (mmHg),continuous,Development eligible,Temporal eligible,10034,221,9605,206,429,15,,,,,-0.08353539271221196,0.24755974960552926,129.36127017178552,20.662109800152937,130.0,117.0,140.0,131.13106796116506,21.697640780491806,129.0,116.25,143.0
ana_hemo,Hemoglobin (g/dL),continuous,Development eligible,Temporal eligible,10034,221,10023,221,11,0,,,,,-0.17140842108099263,0.015825191382592897,13.489282649905217,1.901722489661511,13.6,12.3,14.8,13.828823529411766,2.0570089650638232,14.0,12.9,15.2
